iter	Passed	Remaining
641	3663	2042
642	3667	2036
643	3672	2030
644	3678	2024
645	3684	2018
646	3688	2012
647	3694	2007
648	3700	2001
649	3706	1995
650	3712	1990
651	3717	1984
652	3722	1978
653	3728	1972
654	3733	1966
655	3738	1960
656	3744	1954
657	3750	1949
658	3755	1943
659	3759	1936
660	3764	1930
661	3768	1924
662	3775	1918
663	3782	1914
664	3787	1908
665	3793	1902
666	3800	1897
667	3806	1892
668	3813	1886
669	3819	1881
670	3824	1875
671	3830	1869
672	3836	1863
673	3840	1857
674	3844	1851
675	3850	1845
676	3857	1840
677	3862	1834
678	3868	1828
679	3875	1823
680	3883	1818
681	3889	1813
682	3894	1807
683	3900	1802
684	3907	1796
685	3912	1791
686	3918	1785
687	3923	1779
688	3930	1773
689	3937	1769
690	3943	1763
691	3948	1757
692	3955	1752
693	3961	1746
694	3967	1741
695	3973	1735
696	3979	1730
697	3985	1724
698	3992	1719
699	3998	1713
700	4003	1707
701	4009	1702
702	4016	1696
703	4021	1690
704	4027	1685
705	4033	1679
706	4038	1673
707	4044	1668
708	4049	1662
709	4054	1656
710	4060	1650
711	4066	1645
712	4072	1639
713	4079	1634
714	4085	1628
715	4091	1622
716	4097	1617
717	4102	1611
718	4108	1605
719	4113	1599
720	4119	1594
721	4125	1588
722	4131	1582
723	4136	1577
724	4143	1571
725	4149	1565
726	4155	1560
727	4161	1554
728	4167	1549
729	4172	1543
730	4177	1537
731	4185	1532
732	4187	1525
733	4194	1519
734	4199	1514
735	4205	1508
736	4211	1502
737	4217	1497
738	4225	1492
739	4230	1486
740	4236	1480
741	4244	1475
742	4249	1470
743	4256	1464
744	4261	1458
745	4268	1453
746	4274	1447
747	4281	1442
748	4287	1436
749	4294	1431
750	4300	1426
751	4306	1420
752	4312	1414
753	4318	1408
754	4323	1403
755	4330	1397
756	4335	1391
757	4341	1386
758	4347	1380
759	4353	1374
760	4358	1368
761	4364	1363
762	4369	1357
763	4375	1351
764	4380	1345
765	4387	1340
766	4393	1334
767	4400	1329
768	4405	1323
769	4411	1317
770	4417	1312
771	4422	1306
772	4428	1300
773	4436	1295
774	4444	1290
775	4449	1284
776	4456	1278
777	4463	1273
778	4468	1267
779	4473	1261
780	4479	1256
781	4486	1250
782	4491	1244
783	4497	1239
784	4504	1233
785	4509	1227
786	4515	1221
787	4520	1216
788	4526	1210
789	4533	1205
790	4538	1199
791	4545	1193
792	4550	1187
793	4556	1182
794	4562	1176
795	4567	1170
796	4573	1164
797	4578	1159
798	4584	1153
799	4590	1147
800	4596	1141
801	4602	1136
802	4608	1130
803	4613	1124
804	4619	1119
805	4624	1113
806	4629	1107
807	4634	1101
808	4639	1095
809	4644	1089
810	4649	1083
811	4654	1077
812	4660	1072
813	4666	1066
814	4672	1060
815	4678	1054
816	4683	1048
817	4688	1043
818	4694	1037
819	4699	1031
820	4704	1025
821	4710	1020
822	4715	1014
823	4719	1008
824	4725	1002
825	4730	996
826	4736	990
827	4742	985
828	4747	979
829	4753	973
830	4759	968
831	4764	962
832	4770	956
833	4776	950
834	4782	944
835	4788	939
836	4793	933
837	4799	927
838	4805	922
839	4812	916
840	4817	910
841	4822	904
842	4830	899
843	4835	893
844	4841	888
845	4847	882
846	4854	876
847	4859	870
848	4864	865
849	4869	859
850	4875	853
851	4880	847
852	4886	842
853	4892	836
854	4897	830
855	4903	824
856	4909	819
857	4914	813
858	4919	807
859	4925	801
860	4931	796
861	4937	790
862	4943	784
863	4949	779
864	4955	773
865	4960	767
866	4966	761
867	4971	755
868	4976	750
869	4981	744
870	4987	738
871	4993	732
872	4999	727
873	5005	721
874	5011	715
875	5016	710
876	5021	704
877	5027	698
878	5033	692
879	5039	687
880	5044	681
881	5049	675
882	5054	669
883	5061	664
884	5066	658
885	5071	652
886	5076	646
887	5081	640
888	5086	635
889	5092	629
890	5097	623
891	5103	617
892	5109	612
893	5116	606
894	5122	600
895	5128	595
896	5135	589
897	5141	583
898	5146	578
899	5151	572
900	5156	566
901	5161	560
902	5166	554
903	5170	549
904	5177	543
905	5182	537
906	5188	532
907	5194	526
908	5199	520
909	5205	514
910	5210	509
911	5216	503
912	5222	497
913	5227	491
914	5232	486
915	5237	480
916	5243	474
917	5248	468
