iter	R2	RMSE
425	0.9498675329	0.08940717987
426	0.9498851188	0.08939149698
427	0.9498935161	0.08938400737
428	0.9499176499	0.0893624789
429	0.9499599459	0.08932473633
430	0.9499669086	0.08931852164
431	0.9499823186	0.08930476573
432	0.949990551	0.08929741612
433	0.950097257	0.08920209755
434	0.9501093339	0.08919130301
435	0.950117162	0.0891843055
436	0.9501367579	0.08916678623
437	0.9502087922	0.08910235611
438	0.9502178053	0.08909429117
439	0.9502468662	0.08906828252
440	0.9503068998	0.08901453009
441	0.9503417906	0.08898327496
442	0.9503585968	0.088968216
443	0.950462974	0.08887463343
444	0.9504708537	0.08886756465
445	0.9505256006	0.0888184363
446	0.9505433203	0.08880252936
447	0.9505695132	0.08877901072
448	0.9506306391	0.08872410154
449	0.9506468412	0.08870954157
450	0.9506564345	0.08870091943
451	0.950807968	0.088564615
452	0.9508231344	0.08855096124
453	0.9508551534	0.08852212884
454	0.9509343726	0.08845075331
455	0.9509395635	0.08844607436
456	0.9510904533	0.08830995769
457	0.9511224162	0.08828109723
458	0.951125844	0.08827800158
459	0.9511386794	0.08826640897
460	0.9512063732	0.08820524445
461	0.9512113242	0.08820076933
462	0.9513222296	0.08810046416
463	0.9513417707	0.08808277894
464	0.9513784275	0.08804959407
465	0.9514318217	0.08800123452
466	0.9514393865	0.08799438091
467	0.9514516145	0.08798330127
468	0.9514659193	0.08797033821
469	0.9514971552	0.08794202538
470	0.9515045171	0.08793535104
471	0.9515159704	0.08792496645
472	0.9515282605	0.08791382189
473	0.9515319546	0.0879104718
474	0.9515609535	0.08788416895
475	0.9515883669	0.08785929702
476	0.9515987938	0.08784983499
477	0.9516282366	0.08782311111
478	0.9517117581	0.0877472581
479	0.9517839042	0.08768168324
480	0.9518089073	0.08765894603
481	0.9518163866	0.08765214342
482	0.9519016852	0.08757452448
483	0.9519646097	0.08751722118
484	0.9520637381	0.08742687193
485	0.9521413616	0.08735605782
486	0.9521739335	0.08732632613
487	0.9523220135	0.08719103052
488	0.9524344244	0.08708818429
489	0.9525438971	0.08698790936
490	0.9525643963	0.08696911961
491	0.9526778112	0.08686508913
492	0.9526871471	0.08685652017
493	0.9528128168	0.08674109176
494	0.9528655158	0.08669264172
495	0.9528732437	0.08668553461
496	0.952976494	0.08659052258
497	0.9530854068	0.08649018683
498	0.9530920557	0.0864840577
499	0.9531227496	0.08645575795
500	0.9531251979	0.08645350028
501	0.9532237665	0.08636255492
502	0.9532362627	0.08635101841
503	0.9532807376	0.0863099463
504	0.9533560039	0.08624039412
505	0.9534268239	0.08617489949
506	0.9535138774	0.08609432376
507	0.9535197033	0.08608892875
508	0.9536019097	0.08601276535
509	0.9536158552	0.08599983828
510	0.9536205421	0.08599549321
511	0.953633003	0.08598394014
512	0.9536437436	0.08597398076
513	0.9537138524	0.085908943
514	0.9537198551	0.08590337216
515	0.9537338776	0.08589035721
516	0.9537560245	0.08586979755
517	0.953863658	0.08576980771
518	0.9538658645	0.08576775675
519	0.9539738746	0.08566729735
520	0.9540215401	0.08562292655
521	0.9540310457	0.08561407518
522	0.9541129755	0.08553774683
523	0.9541151016	0.08553576518
524	0.9541701424	0.08548444795
525	0.9542362129	0.08542280653
526	0.9542405222	0.08541878456
527	0.9542463675	0.08541332871
528	0.9542523162	0.08540777599
529	0.954283479	0.08537868163
530	0.9542952646	0.0853676757
531	0.9542995424	0.08536368053
532	0.9543340687	0.08533142867
533	0.954451901	0.08522126679
534	0.9544881187	0.08518737813
535	0.9545337859	0.08514462827
536	0.9545404546	0.08513838382
537	0.9546461489	0.08503935209
538	0.9547454903	0.08494616749
539	0.9547801773	0.08491360618
540	0.9548595103	0.08483908787
541	0.9549052528	0.08479609175
542	0.9550099917	0.08469755905
543	0.955059086	0.0846513343
544	0.9550793939	0.08463220602
545	0.9551131759	0.08460037675
546	0.95526238	0.08445965357
547	0.9552691662	0.08445324754
548	0.9553955143	0.08433388854
549	0.9554472085	0.0842850052
550	0.9554479151	0.08428433683
551	0.9554606336	0.08427230546
552	0.9555120755	0.08422362514
553	0.9556052446	0.08413538593
554	0.9556072075	0.08413352598
555	0.9556183482	0.08412296831
556	0.9556251954	0.08411647877
557	0.9556358369	0.08410639226
558	0.9557189632	0.08402755909
559	0.9557621186	0.08398660339
560	0.9558563649	0.08389709133
561	0.9560067042	0.08375410599
562	0.956054069	0.08370900741
563	0.9560634263	0.08370009495
564	0.9561257117	0.08364074646
565	0.9561342871	0.08363257207
566	0.9561379179	0.08362911086
567	0.9561535242	0.08361423174
568	0.9562731624	0.08350008018
569	0.956323162	0.08345232724
570	0.9563684844	0.08340901779
571	0.9563799403	0.08339806715
572	0.9563935073	0.08338509666
573	0.9564207362	0.08335905873
574	0.9564235637	0.08335635446
575	0.956480407	0.08330196961
576	0.9564879894	0.08329471253
577	0.9565213044	0.08326281902
578	0.9565359636	0.08324878152
579	0.9565397987	0.08324510867
580	0.9565407615	0.0832441865
581	0.9566206524	0.08316763762
582	0.9566973564	0.08309407606
583	0.9567539696	0.0830397403
584	0.9568281744	0.08296846682
585	0.9568630747	0.08293492396
